"Elevation","Richness","site"
400,60,"Morni"
500,84,"Morni"
600,117,"Morni"
700,181,"Morni"
800,206,"Morni"
900,226,"Morni"
1000,198,"Morni"
1100,192,"Morni"
1200,191,"Morni"
1300,178,"Morni"
1000,124,"Chail"
1100,156,"Chail"
1200,157,"Chail"
1300,194,"Chail"
1400,220,"Chail"
1500,215,"Chail"
1600,213,"Chail"
1700,206,"Chail"
1800,190,"Chail"
1900,173,"Chail"
2000,169,"Chail"
2100,154,"Chail"
1700,507,"Churdhar"
1800,520,"Churdhar"
1900,424,"Churdhar"
2000,416,"Churdhar"
2100,410,"Churdhar"
2200,397,"Churdhar"
2300,390,"Churdhar"
2400,360,"Churdhar"
2500,339,"Churdhar"
2600,313,"Churdhar"
2700,285,"Churdhar"
2800,260,"Churdhar"
2900,234,"Churdhar"
3000,207,"Churdhar"
3100,182,"Churdhar"
3200,152,"Churdhar"
3300,134,"Churdhar"
3400,106,"Churdhar"
400,79,"All"
500,120,"All"
600,166,"All"
700,251,"All"
800,327,"All"
900,384,"All"
1000,420,"All"
1100,460,"All"
1200,513,"All"
1300,563,"All"
1400,588,"All"
1500,575,"All"
1600,558,"All"
1700,547,"All"
1800,537,"All"
1900,514,"All"
2000,497,"All"
2100,481,"All"
2200,462,"All"
2300,446,"All"
2400,403,"All"
2500,369,"All"
2600,339,"All"
2700,307,"All"
2800,278,"All"
2900,246,"All"
3000,219,"All"
3100,194,"All"
3200,157,"All"
3300,138,"All"
3400,110,"All"
