"given_name","powo_taxa","powo_author","powo_dist","Bhardwaj2017","Champion1968","eFI2022","FOI2022","Kumar2013"
"Gypsophila cerastioides","Acanthophyllum cerastioides","(D.Don) Madhani & Zarre","Native",1,0,0,0,0
"Acer caesium","Acer caesium","Wall. ex Brandis","Native",0,1,0,0,0
"Achillea alpina","Achillea alpina","L.",NA,0,0,1,0,0
"Achyranthes aspera","Achyranthes aspera","L.","Native",1,0,0,0,0
"Achyranthes bidentata","Achyranthes bidentata","Blume","Native",1,0,0,0,1
"Adenocaulon bicolor","Adenocaulon himalaicum","Edgew.","Native",1,0,0,0,1
"Adiantum capillus-veneris","Adiantum capillus-veneris","L.","Native",1,0,0,0,0
"Adiantum edgeworthii","Adiantum edgeworthii","Hook.","Native",1,0,0,0,0
"Aegle marmelos","Aegle marmelos","(L.) Corrêa","Native",1,0,0,0,0
"Aesculus indica","Aesculus indica","(Wall. ex Cambess.) Hook.","Native",0,1,0,0,0
"Agave wightii","Agave angustifolia","Haw.","Introduced",1,0,0,0,0
"Eupatorium adenophorum","Ageratina adenophora","(Spreng.) R.M.King & H.Rob.","Introduced",1,0,0,0,0
"Ageratum conyzoides","Ageratum conyzoides","L.","Introduced",1,0,0,0,0
"Agrimonia pilosa","Agrimonia pilosa","Ledeb.","Native",1,1,0,0,0
"Agrostis alba","Agrostis gigantea","Roth","Native",0,1,0,0,0
"Ainsliaea aptera","Ainsliaea aptera","DC.","Native",1,0,0,0,1
"Ajania fruticulosa","Ajania fruticulosa","(Ledeb.) Poljakov","Native",0,0,0,0,1
"Ajuga integrifolia","Ajuga integrifolia","Buch.-Ham. ex D.Don","Native",1,0,0,0,0
"Albizia chinensis","Albizia chinensis","(Osbeck) Merr.","Native",0,1,1,0,0
"Albizia lebbeck","Albizia lebbeck","(L.) Benth.","Native",1,0,0,0,0
"Amaranthus caudatus","Amaranthus caudatus","L.","Introduced",0,0,1,0,0
"Ampelocissus latifolia","Ampelocissus latifolia","(Roxb.) Planch.","Native",1,0,0,0,0
"Anaphalis araneosa","Anaphalis busua","(Buch.-Ham.) DC.","Native",0,1,0,0,0
"Anaphalis busua","Anaphalis busua","(Buch.-Ham.) DC.","Native",1,0,0,0,1
"Anaphalis triplinervis","Anaphalis triplinervis","(Sims) C.B.Clarke","Native",1,0,0,0,0
"Androsace sarmentosa","Androsace sarmentosa","Wall.","Native",1,0,0,0,0
"Apluda mutica","Apluda mutica","L.","Native",1,0,0,0,1
"Argemone mexicana","Argemone mexicana","L.","Introduced",1,0,0,0,1
"Arisaema intermedium","Arisaema intermedium","Blume","Native",1,0,0,0,0
"Arisaema jacquemontii","Arisaema jacquemontii","Blume","Native",1,0,0,0,0
"Arisaema tortuosum","Arisaema tortuosum","(Wall.) Schott","Native",1,0,0,0,1
"Artemisia roxburghiana","Artemisia roxburghiana","Besser","Native",0,0,0,0,1
"Artemisia vestita","Artemisia vestita","Wall. ex Besser","Native",1,0,0,0,0
"Artemisia vulgaris","Artemisia vulgaris","L.","Native",0,1,0,0,0
"Arundinella bengalensis","Arundinella bengalensis","(Spreng.) Druce","Native",0,1,0,0,0
"Arundinella intricata","Arundinella intricata","Hughes","Native",0,1,0,0,0
"Asclepias curassavica","Asclepias curassavica","L.","Introduced",1,0,0,0,1
"Asparagus racemosus","Asparagus racemosus","Willd.","Native",1,0,0,0,0
"Asplenium adiantum-nigrum","Asplenium adiantum-nigrum","L.","Native",1,0,0,0,0
"Asplenium anogrammoides","Asplenium anogrammoides","Christ",NA,1,0,0,0,0
"Asplenium ensiforme","Asplenium ensiforme","Wall. ex Hook. & Grev.","Native",1,0,0,0,0
"Asplenium trichomanes","Asplenium trichomanes","L.","Native",1,0,0,0,0
"Avena fatua","Avena fatua","L.","Native",1,0,0,0,1
"Barleria cristata","Barleria cristata","L.","Native",1,0,0,0,0
"Bauhinia variegata","Bauhinia variegata","L.","Doubtful",1,0,0,0,0
"Begonia picta","Begonia picta","Sm.","Native",1,0,0,0,0
"Berberis aristata","Berberis aristata","DC.","Native",0,1,0,0,1
"Berberis chitria","Berberis chitria","Buch.-Ham. ex Lindl.","Native",1,0,0,0,0
"Berberis lycium","Berberis lycium","Royle","Native",1,1,0,0,1
"Bergenia ciliata","Bergenia ciliata","(Haw.) Sternb.","Native",1,0,0,0,0
"Murraya koenigii","Bergera koenigii","L.","Native",1,1,0,0,0
"Betula alnoides","Betula alnoides","Buch.-Ham. ex D.Don","Native",0,1,0,0,0
"Caesalpinia decapetala","Biancaea decapetala","(Roth) O.Deg.","Native",1,0,0,0,0
"Bidens bipinnata","Bidens bipinnata","L.","Introduced",1,0,0,0,0
"Bidens pilosa","Bidens pilosa","L.","Introduced",1,0,0,0,1
"Bistorta amplexicaulis","Bistorta amplexicaulis","(D.Don) Greene","Native",0,0,0,0,1
"Polygonum amplexicaule","Bistorta amplexicaulis","(D.Don) Greene","Native",1,0,0,0,0
"Boehmeria platyphylla","Boehmeria virgata","(G.Forst.) Guill.","Native",1,0,0,0,0
"Boenninghausenia albiflora","Boenninghausenia albiflora","(Hook.) Rchb. ex Meisn.","Native",1,1,0,0,1
"Bombax ceiba","Bombax ceiba","L.",NA,1,0,0,0,0
"Bothriochloa pertusa","Bothriochloa pertusa","(L.) A.Camus","Native",0,1,0,0,0
"Botrychium ternatum","Botrychium ternatum","(Thunb.) Sw.","Native",1,0,0,0,0
"Brachycorythis obcordata","Brachycorythis obcordata","(Lindl. ex Wall.) Summerh.","Native",1,0,0,0,0
"Buddleja asiatica","Buddleja asiatica","Lour.","Native",1,0,0,0,0
"Buddleja crispa","Buddleja crispa","Benth.","Native",1,0,0,0,0
"Bupleurum gracillimum","Bupleurum gracillimum","Klotzsch","Native",1,0,0,0,0
"Butea monosperma","Butea monosperma","(Lam.) Kuntze","Native",1,0,0,0,0
"Calotropis gigantea","Calotropis gigantea","(L.) W.T.Aiton",NA,1,0,0,0,0
"Campanula benthamii","Campanula dimorphantha","Schweinf.","Native",1,0,0,0,0
"Lespedeza sericea","Campylotropis macrostyla","(D.Don) Lindl. ex Miq.","Native",0,1,0,0,0
"Cannabis sativa","Cannabis sativa","L.","Introduced",1,0,0,0,0
"Capillipedium assimile","Capillipedium assimile","(Steud.) A.Camus","Native",0,1,0,0,0
"Capillipedium parviflorum","Capillipedium parviflorum","(R.Br.) Stapf","Native",0,1,0,0,0
"Capparis leucophylla","Capparis spinosa","L.","Native",1,0,0,0,0
