"given_name","powo_taxa","powo_author","powo_dist","Champion1968","Choudhary2007","Choudhary2012","eFI2022","FOI2022","Gupta1998","Radha2019","Subramani2014","Thakur2021a"
"Abies pindrow","Abies pindrow","(Royle ex D.Don) Royle","Native",1,0,1,1,0,1,0,0,1
"Abies pindrow","Abies pindrow","(Royle ex D.Don) Royle","Native",0,0,0,1,0,0,0,0,0
"Abies spectabilis","Abies spectabilis","(D.Don) Mirb.","Native",0,0,0,1,0,0,0,1,1
"Abrus precatorius","Abrus precatorius","L.","Native",0,0,0,0,0,0,1,0,0
"Acer acuminatum","Acer acuminatum","Wall. ex D.Don","Native",1,0,0,0,0,0,0,1,0
"Acer caesium","Acer caesium","Wall. ex Brandis","Native",1,0,0,0,0,0,0,1,1
"Acer cappadocicum","Acer cappadocicum","Gled.","Native",0,0,0,0,0,0,0,1,0
"Acer pentapomicum","Acer pentapomicum","J.L.Stewart","Native",0,0,0,0,0,0,0,1,1
"Acer pictum","Acer pictum","Thunb.",NA,0,0,0,0,0,1,0,0,0
"Achillea millefolium","Achillea millefolium","L.","Native",0,0,0,0,0,1,1,0,0
"Aconitum heterophyllum","Aconitum heterophyllum","Wall. ex Royle","Native",0,1,0,0,0,1,0,0,0
"Aconitum laeve","Aconitum laeve","Royle","Native",0,0,0,0,0,0,0,1,0
"Aconogonon molle","Koenigia mollis","(D.Don) T.M.Schust. & Reveal","Native",0,0,0,0,0,1,0,0,0
"Aconogonon rumicifolium","Koenigia rumicifolia","(Royle ex Bab.) T.M.Schust. & Reveal","Native",0,0,0,0,0,1,0,1,0
"Acorus calamus","Acorus calamus","L.","Native",0,1,0,0,0,1,0,0,0
"Acronema hookeri","Acronema hookeri","(C.B.Clarke) H.Wolff","Native",0,0,0,0,0,0,0,1,0
"Actaea spicata","Actaea spicata","L.","Native",0,0,0,0,0,0,0,1,0
"Adhatoda vasica","Justicia adhatoda","L.","Native",0,0,0,0,0,0,1,0,0
"Adiantum venustum","Adiantum venustum","D.Don","Native",1,0,0,0,0,0,0,0,0
"Aegle marmelos","Aegle marmelos","(L.) Corrêa","Native",0,0,1,0,0,0,0,0,0
"Aesculus indica","Aesculus indica","(Wall. ex Cambess.) Hook.","Native",0,0,0,0,0,1,0,1,0
"Ageratina adenophora","Ageratina adenophora","(Spreng.) R.M.King & H.Rob.","Introduced",0,0,0,0,0,0,1,0,0
"Ageratum conyzoides","Ageratum conyzoides","L.","Introduced",0,0,1,0,0,0,0,0,0
"Agrimonia pilosa","Agrimonia pilosa","Ledeb.","Native",0,0,0,0,0,1,0,1,0
"Agropyron longearistatum","Elymus longearistatus","(Boiss.) Tzvelev","Native",1,0,0,0,0,0,0,0,0
"Agropyron semicostatum","Elymus semicostatus","(Steud.) Melderis","Native",1,0,0,0,0,0,0,0,0
"Agrostis munroana","Agrostis munroana","Aitch. & Hemsl.","Native",0,0,0,0,0,0,0,1,0
"Agrostis stolonifera","Agrostis stolonifera","L.","Native",0,0,0,0,0,0,0,1,0
"Ailanthus altissima","Ailanthus altissima","(Mill.) Swingle","Introduced",0,0,0,0,0,0,0,1,1
"Ainsliaea aptera","Ainsliaea aptera","DC.","Native",0,0,0,0,0,1,0,1,0
"Ainsliaea latifolia","Ainsliaea latifolia","(D.Don) Sch.Bip.","Native",0,0,0,0,0,0,0,1,0
"Ajuga integrifolia","Ajuga integrifolia","Buch.-Ham. ex D.Don","Native",0,0,0,1,0,0,0,0,0
"Ajuga parviflora","Ajuga parviflora","Benth.","Native",0,0,0,1,0,1,0,0,0
"Alangium chinense","Alangium chinense","(Lour.) Harms","Native",0,0,0,0,0,0,0,1,0
"Albizia chinensis","Albizia chinensis","(Osbeck) Merr.","Native",0,0,0,1,0,0,0,0,0
"Aletris pauciflora","Aletris pauciflora","(Klotzsch) Hand.-Mazz.","Native",0,0,0,0,0,0,0,1,0
"Alisma plantago-aquatica","Alisma plantago-aquatica","L.","Native",0,0,0,0,0,0,0,1,0
"Allium govanianum","Allium humile","Kunth","Native",0,1,0,0,0,0,0,0,0
"Allium humile","Allium humile","Kunth","Native",0,0,0,0,0,1,0,1,0
"Allium victorialis","Allium victorialis","L.","Native",0,0,0,0,0,0,0,1,0
"Allium wallichii","Allium wallichii","Kunth","Native",0,0,0,0,0,0,0,1,0
"Alnus nepalensis","Alnus nepalensis","D.Don","Native",0,0,1,0,0,0,0,0,1
"Amaranthus viridis","Amaranthus viridis","L.","Introduced",0,0,0,0,0,0,1,0,0
"Anaphalis araneosa","Anaphalis busua","(Buch.-Ham.) DC.","Native",0,0,0,0,0,1,0,0,0
"Anaphalis contorta","Anaphalis contorta","(D.Don) Hook.f.","Native",0,0,0,0,0,1,0,0,0
"Anaphalis margaritacea","Anaphalis margaritacea","(L.) Benth. & Hook.f.","Native",0,0,1,0,0,0,0,0,0
"Anaphalis nepalensis","Anaphalis nepalensis","(Spreng.) Hand.-Mazz.","Native",0,0,0,0,0,0,0,1,0
"Anaphalis nubigena","Anaphalis nepalensis","(Spreng.) Hand.-Mazz.","Native",0,0,0,0,0,1,0,0,0
"Anaphalis triplinervis","Anaphalis triplinervis","(Sims) C.B.Clarke","Native",0,0,0,0,0,0,0,1,0
"Androsace lanuginosa","Androsace lanuginosa","Wall.","Native",0,0,0,1,0,1,0,0,0
"Androsace sarmentosa","Androsace sarmentosa","Wall.","Native",0,0,1,0,0,0,0,0,0
"Androsace sempervivoides","Androsace sempervivoides","Jacquem. ex Duby","Native",0,0,0,0,0,0,0,1,0
"Anemone obtusiloba","Anemonastrum obtusilobum","(D.Don) Mosyakin","Native",0,0,0,0,0,1,0,0,0
"Anemone rivularis","Eriocapitella rivularis","(Buch.-Ham. ex DC.) Christenh. & Byng","Native",1,0,0,0,0,0,0,0,0
"Anemone tetrasepala","Anemonastrum tetrasepalum","(Royle) Holub","Native",0,0,0,0,0,1,0,0,0
"Anemone vitifolia","Eriocapitella vitifolia","(Buch.-Ham. ex DC.) Nakai","Native",0,0,1,0,0,1,0,0,0
"Angelica glauca","Angelica glauca","Edgew.","Native",0,1,0,0,0,1,0,1,0
"Apium graveolens","Apium graveolens","L.","Native",0,0,0,1,0,0,0,0,0
"Aquilegia pubiflora","Aquilegia pubiflora","Wall. ex Royle","Native",0,0,0,1,0,0,0,1,0
"Arabis pterosperma","Arabis pterosperma","Edgew.","Native",0,0,0,0,0,0,0,1,0
"Arenaria festucoides","Eremogone festucoides","(Benth.) Pusalkar & D.K.Singh","Native",0,0,0,0,0,0,0,1,0
"Argemone mexicana","Argemone mexicana","L.","Introduced",0,0,0,0,0,0,1,0,0
"Argostemma sarmentosum","Argostemma sarmentosum","Wall.","Native",0,0,0,1,0,0,0,0,0
"Argostemma verticillatum","Argostemma verticillatum","Wall.","Native",0,0,0,0,0,0,0,1,0
"Arisaema costatum","Arisaema costatum","(Wall.) Mart.","Native",0,0,0,0,0,1,0,0,0
"Arisaema flavum","Arisaema flavum","(Forssk.) Schott","Native",0,1,0,0,0,1,0,1,0
"Arisaema intermedium","Arisaema intermedium","Blume","Native",0,0,0,0,0,0,0,1,0
"Arisaema jacquemontii","Arisaema jacquemontii","Blume","Native",0,0,1,0,0,0,0,0,0
"Arisaema utile","Arisaema utile","Hook.f. ex Schott","Native",0,0,0,0,0,0,0,1,0
"Artemisia indica","Artemisia indica","Willd.","Native",0,0,0,0,0,0,0,1,0
"Artemisia roxburghiana","Artemisia roxburghiana","Besser","Native",0,0,0,0,0,1,0,0,0
"Artemisia vulgaris","Artemisia vulgaris","L.","Native",0,1,0,0,0,1,0,0,0
"Arundinaria falcata","Drepanostachyum falcatum","(Nees) Keng f.","Native",1,0,0,0,0,0,0,0,0
"Arundinaria jaunsarensis","Yushania anceps","(Mitford) W.C.Lin","Native",1,0,0,0,0,0,0,0,0
"Arundinaria spathiflora","Thamnocalamus spathiflorus","(Trin.) Munro","Native",0,0,1,0,0,0,0,0,0
"Arundinella nepalensis","Arundinella nepalensis","Trin.","Native",0,0,0,0,0,0,0,1,0
"Asclepias curassavica","Asclepias curassavica","L.","Introduced",0,0,0,0,0,1,0,0,0
"Aspidium aculeatum","Polystichum aculeatum","(L.) Roth","Native",1,0,0,0,0,0,0,0,0
"Aster molliusculus","Aster molliusculus","(Lindl. ex DC.) C.B.Clarke","Native",0,0,0,0,0,1,0,1,0
"Aster peduncularis","Cordiofontis peduncularis","(Wall. ex Nees) G.L.Nesom","Native",0,0,0,0,0,1,0,0,0
"Aster thomsonii","Cordiofontis flexuosa","(Royle ex Lindl.) G.L.Nesom","Native",0,0,1,0,0,0,0,0,0
"Astilbe rivularis","Astilbe rivularis","Buch.-Ham. ex D.Don","Native",0,0,0,0,0,1,0,1,0
"Bauhinia variegata","Bauhinia variegata","L.","Doubtful",0,0,1,0,0,0,1,0,0
"Begonia picta","Begonia picta","Sm.","Native",0,0,1,0,0,0,0,0,0
