given_name,POWOAccepted,POWODist,Champion1968,Choudhary2007,Choudhary2012,eFI2022,FOI2022,Gupta1998,Radha2019,Subramani2014,Thakur2021a
Abies pindrow (Royle ex D.Don) Royle,Abies pindrow (Royle ex D.Don) Royle,Native,1,0,1,1,0,1,0,0,1
Abies pindrow var. brevifolia Dallim. & A.B.Jacks.,Abies pindrow (Royle ex D.Don) Royle,Native,0,0,0,1,0,0,0,0,0
Abies spectabilis (D.Don) Mirb.,Abies spectabilis (D.Don) Mirb.,Native,0,0,0,1,0,0,0,1,1
Abrus precatorius L.,Abrus precatorius L.,Native,0,0,0,0,0,0,1,0,0
Acer acuminatum Wall. ex D.Don,Acer acuminatum Wall. ex D.Don,Native,1,0,0,0,0,0,0,1,0
Acer caesium Wall. ex Brandis,Acer caesium Wall. ex Brandis,Native,1,0,0,0,0,0,0,1,1
Acer cappadocicum Gled.,Acer cappadocicum Gled.,Native,0,0,0,0,0,0,0,1,0
Acer pentapomicum J.L.Stewart,Acer pentapomicum J.L.Stewart,Native,0,0,0,0,0,0,0,1,1
Acer pictum Thunb.,Acer pictum Thunb.,NA,0,0,0,0,0,1,0,0,0
Achillea millefolium L.,Achillea millefolium L.,Native,0,0,0,0,0,1,1,0,0
Aconitum heterophyllum Wall. ex Royle,Aconitum heterophyllum Wall. ex Royle,Native,0,1,0,0,0,1,0,0,0
Aconitum laeve Royle,Aconitum laeve Royle,Native,0,0,0,0,0,0,0,1,0
Aconogonon molle (D.Don) H.Hara,Koenigia mollis (D.Don) T.M.Schust. & Reveal,Native,0,0,0,0,0,1,0,0,0
Aconogonon rumicifolium (Royle ex Bab.) H.Hara,Koenigia rumicifolia (Royle ex Bab.) T.M.Schust. & Reveal,Native,0,0,0,0,0,1,0,1,0
Acorus calamus L.,Acorus calamus L.,Native,0,1,0,0,0,1,0,0,0
Acronema hookeri (C.B.Clarke) H.Wolff,Acronema hookeri (C.B.Clarke) H.Wolff,Native,0,0,0,0,0,0,0,1,0
Actaea spicata L.,Actaea spicata L.,Native,0,0,0,0,0,0,0,1,0
Adhatoda vasica Nees,Justicia adhatoda L.,Native,0,0,0,0,0,0,1,0,0
Adiantum venustum D.Don,Adiantum venustum D.Don,Native,1,0,0,0,0,0,0,0,0
Aegle marmelos (L.) Corrêa,Aegle marmelos (L.) Corrêa,Native,0,0,1,0,0,0,0,0,0
Aesculus indica (Wall. ex Cambess.) Hook.,Aesculus indica (Wall. ex Cambess.) Hook.,Native,0,0,0,0,0,1,0,1,0
Ageratina adenophora (Spreng.) R.M.King & H.Rob.,Ageratina adenophora (Spreng.) R.M.King & H.Rob.,Introduced,0,0,0,0,0,0,1,0,0
Ageratum conyzoides L.,Ageratum conyzoides L.,Introduced,0,0,1,0,0,0,0,0,0
Agrimonia pilosa Ledeb.,Agrimonia pilosa Ledeb.,Native,0,0,0,0,0,1,0,1,0
Agropyron longearistatum (Boiss.) Boiss.,Elymus longearistatus (Boiss.) Tzvelev,Native,1,0,0,0,0,0,0,0,0
Agropyron semicostatum Nees ex Steud.,Elymus semicostatus (Steud.) Melderis,Native,1,0,0,0,0,0,0,0,0
Agrostis munroana Aitch. & Hemsl.,Agrostis munroana Aitch. & Hemsl.,Native,0,0,0,0,0,0,0,1,0
Agrostis stolonifera L.,Agrostis stolonifera L.,Native,0,0,0,0,0,0,0,1,0
Ailanthus altissima (Mill.) Swingle,Ailanthus altissima (Mill.) Swingle,Introduced,0,0,0,0,0,0,0,1,1
Ainsliaea aptera DC.,Ainsliaea aptera DC.,Native,0,0,0,0,0,1,0,1,0
Ainsliaea latifolia (D.Don) Sch.Bip.,Ainsliaea latifolia (D.Don) Sch.Bip.,Native,0,0,0,0,0,0,0,1,0
Ajuga integrifolia Buch.-Ham. ex D.Don,Ajuga integrifolia Buch.-Ham. ex D.Don,Native,0,0,0,1,0,0,0,0,0
Ajuga parviflora Benth.,Ajuga parviflora Benth.,Native,0,0,0,1,0,1,0,0,0
Alangium chinense (Lour.) Harms,Alangium chinense (Lour.) Harms,Native,0,0,0,0,0,0,0,1,0
Albizia chinensis (Osbeck) Merr.,Albizia chinensis (Osbeck) Merr.,Native,0,0,0,1,0,0,0,0,0
Aletris pauciflora (Klotzsch) Hand.-Mazz.,Aletris pauciflora (Klotzsch) Hand.-Mazz.,Native,0,0,0,0,0,0,0,1,0
Alisma plantago-aquatica L.,Alisma plantago-aquatica L.,Native,0,0,0,0,0,0,0,1,0
Allium govanianum Wall. ex Baker,Allium humile Kunth,Native,0,1,0,0,0,0,0,0,0
Allium humile Kunth,Allium humile Kunth,Native,0,0,0,0,0,1,0,1,0
Allium victorialis L.,Allium victorialis L.,Native,0,0,0,0,0,0,0,1,0
Allium wallichii Kunth,Allium wallichii Kunth,Native,0,0,0,0,0,0,0,1,0
Alnus nepalensis D.Don,Alnus nepalensis D.Don,Native,0,0,1,0,0,0,0,0,1
Amaranthus viridis L.,Amaranthus viridis L.,Introduced,0,0,0,0,0,0,1,0,0
Anaphalis araneosa DC.,Anaphalis busua (Buch.-Ham.) DC.,Native,0,0,0,0,0,1,0,0,0
Anaphalis contorta (D.Don) Hook.f.,Anaphalis contorta (D.Don) Hook.f.,Native,0,0,0,0,0,1,0,0,0
Anaphalis margaritacea (L.) Benth. & Hook.f.,Anaphalis margaritacea (L.) Benth. & Hook.f.,Native,0,0,1,0,0,0,0,0,0
Anaphalis nepalensis (Spreng.) Hand.-Mazz.,Anaphalis nepalensis (Spreng.) Hand.-Mazz.,Native,0,0,0,0,0,0,0,1,0
Anaphalis nubigena DC.,Anaphalis nepalensis (Spreng.) Hand.-Mazz.,Native,0,0,0,0,0,1,0,0,0
Anaphalis triplinervis (Sims) C.B.Clarke,Anaphalis triplinervis (Sims) C.B.Clarke,Native,0,0,0,0,0,0,0,1,0
Androsace lanuginosa Wall.,Androsace lanuginosa Wall.,Native,0,0,0,1,0,1,0,0,0
Androsace sarmentosa Wall.,Androsace sarmentosa Wall.,Native,0,0,1,0,0,0,0,0,0
Androsace sempervivoides Jacquem. ex Duby,Androsace sempervivoides Jacquem. ex Duby,Native,0,0,0,0,0,0,0,1,0
Anemone obtusiloba D.Don,Anemonastrum obtusilobum (D.Don) Mosyakin,Native,0,0,0,0,0,1,0,0,0
Anemone rivularis Buch.-Ham. ex DC.,Eriocapitella rivularis (Buch.-Ham. ex DC.) Christenh. & Byng,Native,1,0,0,0,0,0,0,0,0
Anemone tetrasepala Royle,Anemonastrum tetrasepalum (Royle) Holub,Native,0,0,0,0,0,1,0,0,0
Anemone vitifolia Buch.-Ham. ex DC.,Eriocapitella vitifolia (Buch.-Ham. ex DC.) Nakai,Native,0,0,1,0,0,1,0,0,0
Angelica glauca Edgew.,Angelica glauca Edgew.,Native,0,1,0,0,0,1,0,1,0
Apium graveolens L.,Apium graveolens L.,Native,0,0,0,1,0,0,0,0,0
Aquilegia pubiflora Wall. ex Royle,Aquilegia pubiflora Wall. ex Royle,Native,0,0,0,1,0,0,0,1,0
Arabis pterosperma Edgew.,Arabis pterosperma Edgew.,Native,0,0,0,0,0,0,0,1,0
Arenaria festucoides Benth.,Eremogone festucoides (Benth.) Pusalkar & D.K.Singh,Native,0,0,0,0,0,0,0,1,0
Argemone mexicana L.,Argemone mexicana L.,Introduced,0,0,0,0,0,0,1,0,0
Argostemma sarmentosum Wall.,Argostemma sarmentosum Wall.,Native,0,0,0,1,0,0,0,0,0
Argostemma verticillatum Wall.,Argostemma verticillatum Wall.,Native,0,0,0,0,0,0,0,1,0
Arisaema costatum (Wall.) Mart.,Arisaema costatum (Wall.) Mart.,Native,0,0,0,0,0,1,0,0,0
Arisaema flavum (Forssk.) Schott,Arisaema flavum (Forssk.) Schott,Native,0,1,0,0,0,1,0,1,0
Arisaema intermedium Blume,Arisaema intermedium Blume,Native,0,0,0,0,0,0,0,1,0
Arisaema jacquemontii Blume,Arisaema jacquemontii Blume,Native,0,0,1,0,0,0,0,0,0
Arisaema utile Hook.f. ex Schott,Arisaema utile Hook.f. ex Schott,Native,0,0,0,0,0,0,0,1,0
Artemisia indica Willd.,Artemisia indica Willd.,Native,0,0,0,0,0,0,0,1,0
Artemisia roxburghiana Besser,Artemisia roxburghiana Besser,Native,0,0,0,0,0,1,0,0,0
Artemisia vulgaris L.,Artemisia vulgaris L.,Native,0,1,0,0,0,1,0,0,0
Arundinaria falcata Nees,Drepanostachyum falcatum (Nees) Keng f.,Native,1,0,0,0,0,0,0,0,0
Arundinaria jaunsarensis Gamble,Yushania anceps (Mitford) W.C.Lin,Native,1,0,0,0,0,0,0,0,0
Arundinaria spathiflora Trin.,Thamnocalamus spathiflorus (Trin.) Munro,Native,0,0,1,0,0,0,0,0,0
Arundinella nepalensis Trin.,Arundinella nepalensis Trin.,Native,0,0,0,0,0,0,0,1,0
Asclepias curassavica L.,Asclepias curassavica L.,Introduced,0,0,0,0,0,1,0,0,0
Aspidium aculeatum (L.) Sw.,Polystichum aculeatum (L.) Roth,Native,1,0,0,0,0,0,0,0,0
Aster molliusculus (Lindl. ex DC.) C.B.Clarke,Aster molliusculus (Lindl. ex DC.) C.B.Clarke,Native,0,0,0,0,0,1,0,1,0
Aster peduncularis Wall. ex Nees,Cordiofontis peduncularis (Wall. ex Nees) G.L.Nesom,Native,0,0,0,0,0,1,0,0,0
Aster thomsonii C.B.Clarke,Cordiofontis flexuosa (Royle ex Lindl.) G.L.Nesom,Native,0,0,1,0,0,0,0,0,0
Astilbe rivularis Buch.-Ham. ex D.Don,Astilbe rivularis Buch.-Ham. ex D.Don,Native,0,0,0,0,0,1,0,1,0
Bauhinia variegata L.,Bauhinia variegata L.,Doubtful,0,0,1,0,0,0,1,0,0
