Species,Genus,Family,Life Form,HimLL,HimUL,APLL,APUL,BHLL,BHUL,NPLL,NPUL,UKLL,UKUL,HPLL,HPUL,JKLL,JKUL
Abelia_triflora,Abelia,Caprifoliaceae,S,1500,4200,,,,,1500,4200,1500,3500,1500,3400,1500,3400
Abelmoschus_crinitus,Abelmoschus,Malvaceae,H,100,1800,1370,1525,1370,1525,100,1000,300,1800,700,1500,,
Aboriella_myriantha,Aboriella,Urticaceae,H,,,NA,NA,,,,,,,,,,
Abroma_augusta,Abroma,Malvaceae,S,100,1300,100,800,100,1300,100,1100,300,1100,,,,
Abrus_fruticulosus,Abrus,Fabaceae,WC,100,,,,100,300,,,,,,,,
Abrus_precatorius,Abrus,Fabaceae,WC,100,1500,100,1250,100,1250,100,1100,300,1000,400,1500,400,1500
Abrus_pulchellus,Abrus,Fabaceae,S,100,3000,,,100,3000,100,1300,300,1500,400,900,,
Abutilon_bidentatum,Abutilon,Malvaceae,H,100,100,,,,,,,,,400,400,400,400
Abutilon_hirtum,Abutilon,Malvaceae,H,100,600,,,,,,,300,600,,,,
Abutilon_indicum,Abutilon,Malvaceae,H,100,2000,100,800,800,2000,100,1100,300,600,400,1000,400,1050
Abutilon_persicum,Abutilon,Malvaceae,S,100,1500,,,100,300,800,800,300,1371,400,1500,,
Abutilon_ramosum,Abutilon,Malvaceae,S,100,1000,100,1000,,,,,NA,NA,,,400,800
Acacia_caesia,Acacia,Fabaceae,T,100,250,100,300,,,,,300,400,,,,
Acacia_catechu,Acacia,Fabaceae,T,100,1500,100,1500,100,1400,100,1400,300,1500,400,900,400,1450
Acacia_eburnea,Acacia,Fabaceae,T,100,800,,,,,,,300,800,,,,
Acacia_gageana,Acacia,Fabaceae,T,100,1100,,,100,1100,,,300,800,400,800,400,1100
Acacia_intsia,Acacia,Fabaceae,T,100,1100,,,100,350,900,1100,300,914,400,914,,
Acacia_lenticularis,Acacia,Fabaceae,T,100,1219,,,100,700,800,800,300,1219,,,,
Acacia_modesta,Acacia,Fabaceae,T,100,1500,,,,,,,300,800,1100,1300,400,1500
Acacia_pennata,Acacia,Fabaceae,T,100,1500,100,500,900,1000,100,1100,300,1500,400,900,,
Acacia_pruinescens,Acacia,Fabaceae,WC,1000,1000,1000,1000,,,,,,,,,,
Acacia_pseudo-eburnea,Acacia,Fabaceae,T,100,1000,,,100,1000,,,,,,,,
Acacia_rugata,Acacia,Fabaceae,WC,100,800,100,300,100,300,100,800,,,,,,
Acacia_sinuata,Acacia,Fabaceae,T,100,800,,,100,800,,,,,,,,
Acacia_torta,Acacia,Fabaceae,WC,100,1200,100,1000,100,1200,,,300,1067,400,1067,400,1000
Acalypha_brachystachya,Acalypha,Euphorbiaceae,H,100,2500,,,760,2370,1230,2000,700,2500,1200,2500,1200,2500
Acalypha_indica,Acalypha,Euphorbiaceae,H,100,500,,,,,100,200,300,500,,,,
Acalypha_lanceolata,Acalypha,Euphorbiaceae,H,100,100,,,,,,,300,400,,,,
Acalypha_spiciflora,Acalypha,Euphorbiaceae,WC,100,1300,100,1000,100,1300,100,460,,,,,,
Acampe_carinata,Acampe,Orchidaceae,E,100,100,,,100,300,100,300,300,400,,,,
Acampe_ochracea,Acampe,Orchidaceae,E,100,1000,100,1000,100,500,,,,,,,,
Acampe_praemorsa,Acampe,Orchidaceae,E,100,1500,100,1500,100,900,100,200,,,,,,
Acampe_rigida,Acampe,Orchidaceae,E,100,1800,100,1500,100,1800,100,1500,300,1500,,,,
Acanthephippium_striatum,Acanthephippium,Orchidaceae,H,600,1800,600,1000,600,1800,600,1800,,,,,,
Acanthephippium_sylhetense,Acanthephippium,Orchidaceae,H,500,1500,1000,1500,500,1300,,,,,,,,
Acanthocalyx_delavayi,Acanthocalyx,Caprifoliaceae,H,3960,3960,,,3960,3960,,,,,,,,
Acanthocalyx_nepalensis,Acanthocalyx,Caprifoliaceae,H,2434,4572,,,2434,4572,2500,4500,,,,,,
Acantholimon_lycopodioides,Acantholimon,Plumbaginaceae,S,4110,4110,,,,,,,,,,,4110,4110
Acanthus_carduaceus,Acanthus,Acanthaceae,S,900,2200,900,2200,900,2200,,,,,,,,
Acanthus_ilicifolius,Acanthus,Acanthaceae,S,2034,2034,,,2034,2034,,,,,,,,
Acanthus_leucostachyus,Acanthus,Acanthaceae,H,900,1300,900,1300,900,1300,,,,,,,,
Acer_acuminatum,Acer,Sapindaceae,T,1500,3500,1500,2500,,,2200,3200,2400,3500,1800,3000,1800,3000
Acer_caesium,Acer,Sapindaceae,T,1981,3200,,,,,2200,3000,1981,3200,2000,3000,2000,3000
Acer_calcaratum,Acer,Sapindaceae,T,1670,3000,,,1670,3000,,,NA,NA,,,,
Acer_campbellii,Acer,Sapindaceae,T,1600,3600,1600,1800,2000,3050,2100,3600,,,,,,
Acer_cappadocicum,Acer,Sapindaceae,T,1500,3000,1500,1800,2300,2700,2100,3000,2000,3000,2000,3000,2400,2800
Acer_caudatum,Acer,Sapindaceae,T,2286,4000,,,2700,4000,3000,4000,2286,3353,,,,
Acer_laevigatum,Acer,Sapindaceae,T,1200,2700,1500,2500,1500,2700,1200,1800,1500,2500,1500,2500,,
Acer_laurinum,Acer,Sapindaceae,T,500,2500,500,2500,,,,,,,,,,
Acer_oblongum,Acer,Sapindaceae,T,120,2500,500,2000,300,2500,120,2400,400,2500,600,2500,1500,2500
