"verbatimScientificName","taxon_name","taxon_authors","LL","UL","IUCN"
"Vitis heyneana Roem. & Schult","Vitis heyneana","Schult.",1200,1300,"NE"
"Vitis heyneana Roem. & Schult","Cissus heyneana","Steud.",1200,1300,"NE"
"Vitis vinifera L.","Vitis vinifera","L.",850,950,"LC"
"Curcuma longa L.","Curcuma longa","L.",900,1100,"DD"
"Aloysia citriodora Palau","Aloysia citrodora","Paláu",NA,NA,"NE"
"Curcuma zedoaria (Christm.) Roscoe","Curcuma zedoaria","(Christm.) Roscoe",700,800,"DD"
"Viola kunawurensis Royle","Viola kunawarensis","Royle",800,4400,"NE"
"Pilea racemosa (Royle) Tuyama","Pilea racemosa","(Royle) Tuyama",1130,3130,"NE"
"Curcuma angustifolia Roxb.","Curcuma angustifolia","Roxb.",600,1000,"NE"
"Ampelopsis vitifolia Planch.","Ampelopsis vitifolia","(Boiss.) Planch.",NA,NA,"NE"
"Roscoea alpina Royle","Roscoea alpina","Royle",900,3100,"NE"
"Viola palustris L.","Viola palustris","L.",NA,NA,"LC"
"Aloe vera (L.) Burm. f.","Aloe succotrina","Weston",500,900,"NE"
"Aloe vera (L.) Burm. f.","Aloe vera","(L.) Burm.f.",500,900,"NE"
"Roscoea purpurea Sm.","Roscoea purpurea","Sm.",1050,2050,"NE"
"Curcuma aromatica Salisb.","Curcuma aromatica","Salisb.",840,990,"NE"
"Pouzolzia sanguinea (Bl.) Merr.","Pouzolzia sanguinea","(Blume) Merr.",1350,1650,"NE"
"Tribulus terrestris L.","Tribulus terrestris","L.",725,875,"LC"
"Cautleya gracilis (Sm.) Dandy","Cautleya gracilis","(Sm.) Dandy",1300,1800,"LC"
"Asphodelus tenuifolius Cav.","Asphodelus tenuifolius","Cav.",550,950,"NE"
"Verbena bonariensis L.","Verbena bonariensis","L.",250,1750,"NE"
"Hedychium coronarium J.Koenig","Hedychium coronarium","J.Koenig",900,1000,"DD"
"Hedychium spicatum Sm.","Hedychium spicatum","Sm.",1295,1905,"NE"
"Oreocnide frutescens (Thunb.) Miq.","Oreocnide frutescens","(Thunb.) Miq.",1200,1300,"LC"
"Corchorus aestuans L.","Corchorus aestuans","L.",1200,1500,"NE"
"Elatostema sessile J.R. Forster & G. Forster","Elatostema sessile","J.R.Forst. & G.Forst.",1050,1950,"NE"
"Parthenocissus semicordata (Wall.) Planch.","Parthenocissus semicordata","(Wall.) Planch.",915,2285,"NE"
"Hemerocallis fulva (L.) L.","Hemerocallis fulva","(L.) L.",1680,1980,"NE"
"Viola pilosa Bl.","Viola hispida","Lam.",1400,2200,"NE"
"Viola pilosa Bl.","Viola pilosa","Blume",1400,2200,"NE"
"Viola indica W. Becker","Viola indica","W.Becker",400,2400,"NE"
"Viola canescens Wall.","Viola canescens","Wall.",1675,1825,"NE"
"Eremurus himalaicus Baker","Eremurus himalaicus","Baker",550,2450,"NE"
"Kaempferia rotunda L.","Kaempferia rotunda","L.",0,610,"NE"
"Ulmus wallichiana Planch.","Ulmus wallichiana","Planch.",900,2100,"VU"
"Alpinia calcarata (Haw.) Roscoe","Alpinia calcarata","(Andrews) Roscoe",300,600,"NE"
"Viola betonicifolia Sm.","Viola betonicifolia","Sm.",1150,1850,"NE"
"Ampelocissus rugosa (Wall.) Planch.","Ampelocissus rugosa","(Wall.) Planch.",1000,1400,"NE"
"Gonostegia pentandra (Roxb.) Miq.","Gonostegia pentandra","(Roxb.) Miq.",525,675,"NE"
"Ampelocissus latifolia (Roxb.) Planch.","Ampelocissus latifolia","(Roxb.) Planch.",650,950,"NE"
"Cayratia trifolia (L.) Domin","Causonis trifolia","(L.) Mabb. & J.Wen",700,800,"NE"
"Cautleya spicata (Sm.) Baker","Cautleya spicata","(Sm.) Baker",950,2050,"LC"
"Urtica parviflora Roxb.","Urtica ardens","Link",1771.5,2228.5,"NE"
"Urtica hyperborea Jacq. ex Wedd.","Urtica hyperborea","Jacquem. ex Wedd.",650,4450,"NE"
"Pilea scripta (Buch.-Ham. ex D. Don) Wedd.","Pilea scripta","(Buch.-Ham. ex D.Don) Wedd.",1450,1550,"NE"
"Corchorus depressus (L.) Stocks","Corchorus depressus","(L.) Peterm.",0,100,"NE"
"Phyla nodiflora (L.) Greene","Phyla nodiflora","(L.) Greene",700,800,"LC"
"Maoutia puya (Buch.-Ham. & Wall. ex Hook.) Wedd.","Leucosyke puya","(Hook.) den Baaker & Mabb.",712,812,"NE"
"Boehmeria rugulosa Wedd.","Pouzolzia rugulosa","(Wedd.) Acharya & Kravtsova",1150,1250,"NE"
"Viola inconspicua Bl.","Viola inconspicua","Blume",1050,1150,"NE"
"Solanum seaforthianum Andrews","Solanum seaforthianum","Andrews",300,700,"NE"
"Symplocos paniculata (Thunb. ex Murray) Miq.","Symplocos paniculata","(Thunb.) Miq.",1000,2000,"NE"
"Symplocos paniculata (Thunb. ex Murray) Miq.","Symplocos paniculata","(Thunb.) Miq.",1000,2000,"NE"
"Symplocos paniculata (Thunb. ex Murray) Miq.","Symplocos paniculata","(Thunb.) Miq.",1000,2000,"NE"
"Viola kashmiriana W. Becker","Viola betonicifolia subsp. jaunsariensis","(W.Becker) H.Hara",NA,NA,"NE"
"Solanum virginianum L.","Solanum virginianum","L.",750,1050,"NE"
"Zingiber chrysanthum Roscoe","Zingiber chrysanthum","Roscoe",2075,2525,"NE"
"Tetrastigma serrulatum (Roxb.) Planch.","Tetrastigma serrulatum","(Roxb.) Planch.",1250,1750,"NE"
"Elatostema monandrum (D. Don) H. Hara","Elatostema monandrum","(Buch.-Ham. ex D.Don) H.Hara",1350,1750,"NE"
"Ulmus villosa Brandis","Ulmus villosa","Brandis ex Gamble",650,1850,"NE"
"Amomum subulatum Roxb.","Amomum subulatum","Roxb.",875,1175,"DD"
"Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.","Alpinia zerumbet","(Pers.) B.L.Burtt & R.M.Sm.",250,650,"DD"
"Stachytarpheta urticifolia Sims","Stachytarpheta urticifolia","Sims",700,800,"NE"
"Boehmeria platyphylla Buch.-Ham. ex D. Don","Boehmeria virgata var. macrostachya","(Wight) Friis & Wilmot-Dear",1300,1400,"NE"
"Urtica mairei H. L??????v.","Urtica mairei","H.Lév.",850,2650,"NE"
"Sparganium erectum L.","Sparganium erectum","L.",700,1100,"LC"
"Solanum incanum L.","Solanum incanum","L.",643.5,856.5,"LC"
"Taxus wallichiana Zucc.","Taxus wallichiana","Zucc.",850,2650,"EN"
"Corchorus olitorius L.","Corchorus olitorius","L.",409.5,809.5,"NE"
"Lecanthus peduncularis (Wall. ex Royle) Wedd.","Lecanthus peduncularis","(Royle) Wedd.",1400,1800,"NE"
"Typha domingensis Pers.","Typha domingensis","Pers.",650,1050,"LC"
"Hyoscyamus niger L.","Hyoscyamus niger","L.",500,3000,"NE"
"Vitis jacquemontii R. N. Parker","Vitis heyneana","Schult.",450,1350,"NE"
"Elatostema subincisum Wedd.","Elatostema subincisum","Wedd.",450,2550,"NE"
"Parietaria debilis Forst. fil.","Parietaria debilis","G.Forst.",1400,2600,"NE"
