"powo_taxa","powo_author","powo_dist","Morni","Chail","Churdhar"
"Abelmoschus crinitus","Wall.","Native",1,0,0
"Abies pindrow","(Royle ex D.Don) Royle","Native",0,0,1
"Abies spectabilis","(D.Don) Mirb.","Native",0,0,1
"Abrus precatorius","L.","Native",1,0,1
"Abutilon hirtum","(Lam.) Sweet","Native",1,0,0
"Abutilon indicum","(L.) Sweet","Native",1,0,0
"Acanthophyllum cerastioides","(D.Don) Madhani & Zarre","Native",0,1,1
"Acanthospermum hispidum","DC.","Introduced",1,0,0
"Acer acuminatum","Wall. ex D.Don","Native",0,0,1
"Acer caesium","Wall. ex Brandis","Native",0,1,1
"Acer cappadocicum","Gled.","Native",0,0,1
"Acer pentapomicum","J.L.Stewart","Native",0,0,1
"Acer pictum","Thunb.",NA,0,0,1
"Achillea alpina","L.",NA,0,1,0
"Achillea millefolium","L.","Native",0,0,1
"Achyranthes aspera","L.","Native",1,1,0
"Achyranthes bidentata","Blume","Native",1,1,0
"Acilepis dendigulensis","(DC.) H.Rob.","Native",1,0,0
"Acmella uliginosa","(Sw.) Cass.","Introduced",1,0,0
"Aconitum heterophyllum","Wall. ex Royle","Native",0,0,1
"Aconitum laeve","Royle","Native",0,0,1
"Acorus calamus","L.","Native",1,0,1
"Acronema hookeri","(C.B.Clarke) H.Wolff","Native",0,0,1
"Actaea spicata","L.","Native",0,0,1
"Adenocaulon himalaicum","Edgew.","Native",0,1,0
"Adenostemma lavenia","(L.) Kuntze","Native",1,0,0
"Adiantum capillus-veneris","L.","Native",0,1,0
"Adiantum caudatum","L.","Native",1,0,0
"Adiantum edgeworthii","Hook.","Native",0,1,0
"Adiantum venustum","D.Don","Native",0,0,1
"Adina cordifolia","(Roxb.) Brandis","Native",1,0,0
"Aegle marmelos","(L.) Corrêa","Native",1,1,1
"Aeschynomene indica","L.","Native",1,0,0
"Aesculus indica","(Wall. ex Cambess.) Hook.","Native",0,1,1
"Agave americana","L.","Native",1,0,0
"Agave angustifolia","Haw.","Introduced",0,1,0
"Agave vivipara","L.","Introduced",1,0,0
"Ageratina adenophora","(Spreng.) R.M.King & H.Rob.","Introduced",1,1,1
"Ageratina ligustrina","(DC.) R.M.King & H.Rob.","Native",0,0,1
"Ageratum conyzoides","L.","Introduced",1,1,1
"Ageratum houstonianum","Mill.","Introduced",1,0,0
"Agrimonia pilosa","Ledeb.","Native",0,1,1
"Agrostis gigantea","Roth","Native",0,1,0
"Agrostis munroana","Aitch. & Hemsl.","Native",0,0,1
"Agrostis stolonifera","L.","Native",0,0,1
"Ailanthus altissima","(Mill.) Swingle","Introduced",0,0,1
"Ailanthus excelsa","Roxb.","Native",1,0,0
"Ainsliaea aptera","DC.","Native",0,1,1
"Ainsliaea latifolia","(D.Don) Sch.Bip.","Native",0,0,1
"Ajania fruticulosa","(Ledeb.) Poljakov","Native",0,1,0
"Ajuga integrifolia","Buch.-Ham. ex D.Don","Native",1,1,1
"Ajuga macrosperma","Wall. ex Benth.","Native",1,0,0
"Ajuga parviflora","Benth.","Native",1,0,1
"Alangium chinense","(Lour.) Harms","Native",0,0,1
"Albizia chinensis","(Osbeck) Merr.","Native",1,1,1
"Albizia lebbeck","(L.) Benth.","Native",1,1,0
"Albizia odoratissima","(L.f.) Benth.","Native",1,0,0
"Albizia procera","(Roxb.) Benth.","Native",1,0,0
"Aletris pauciflora","(Klotzsch) Hand.-Mazz.","Native",0,0,1
"Alisma plantago-aquatica","L.","Native",0,0,1
"Allium cepa","L.","Introduced",1,0,0
"Allium humile","Kunth","Native",0,0,1
"Allium victorialis","L.","Native",0,0,1
"Allium wallichii","Kunth","Native",0,0,1
"Alnus nepalensis","D.Don","Native",0,0,1
"Aloe vera","(L.) Burm.f.","Introduced",1,0,0
"Alstonia scholaris","(L.) R.Br.","Native",1,0,0
"Alternanthera paronychioides","A.St.-Hil.","Introduced",1,0,0
"Alternanthera pungens","Kunth","Introduced",1,0,0
"Alternanthera sessilis","(L.) R.Br. ex DC.","Native",1,0,0
"Alysicarpus bupleurifolius","(L.) DC.","Native",1,0,0
"Alysicarpus monilifer","(L.) DC.","Native",1,0,0
"Alysicarpus scariosus","(Rottler ex Spreng.) Graham","Native",1,0,0
"Alysicarpus vaginalis","(L.) DC.","Native",1,0,0
"Amaranthus caudatus","L.","Introduced",0,1,0
"Amaranthus viridis","L.","Introduced",1,0,1
"Ampelocissus latifolia","(Roxb.) Planch.","Native",1,1,0
"Anaphalis busua","(Buch.-Ham.) DC.","Native",1,1,1
"Anaphalis contorta","(D.Don) Hook.f.","Native",1,0,1
"Anaphalis margaritacea","(L.) Benth. & Hook.f.","Native",0,0,1
"Anaphalis nepalensis","(Spreng.) Hand.-Mazz.","Native",0,0,1
"Anaphalis triplinervis","(Sims) C.B.Clarke","Native",0,1,1
"Andrographis echioides","(L.) Nees","Native",1,0,0
"Andrographis paniculata","(Burm.f.) Nees","Native",1,0,0
"Androsace lanuginosa","Wall.","Native",0,0,1
"Androsace sarmentosa","Wall.","Native",0,1,1
"Androsace sempervivoides","Jacquem. ex Duby","Native",0,0,1
"Androsace umbellata","(Lour.) Merr.","Native",1,0,0
"Anemonastrum obtusilobum","(D.Don) Mosyakin","Native",0,0,1
"Anemonastrum tetrasepalum","(Royle) Holub","Native",0,0,1
"Anethum graveolens","L.","Introduced",1,0,0
"Angelica glauca","Edgew.","Native",0,0,1
"Anisomeles indica","(L.) Kuntze","Native",1,0,0
"Annona squamosa","L.","Introduced",1,0,0
"Antigonon leptopus","Hook. & Arn.","Introduced",1,0,0
"Apium graveolens","L.","Native",1,0,1
"Apluda mutica","L.","Native",1,1,0
"Aquilegia pubiflora","Wall. ex Royle","Native",0,0,1
"Arabis pterosperma","Edgew.","Native",0,0,1
"Ardisia solanacea","Roxb.","Native",1,0,0
"Arenaria serpyllifolia","L.","Native",1,0,0
"Argemone mexicana","L.","Introduced",1,1,1
"Argentina lineata","(Trevir.) Soják","Native",0,0,1
"Argentina polyphylla","(Wall. ex Lehm.) Soják","Native",0,0,1
"Argostemma sarmentosum","Wall.","Native",0,0,1
"Argostemma verticillatum","Wall.","Native",0,0,1
"Argyreia sericea","Dalzell & A.Gibson","Native",1,0,0
"Arisaema costatum","(Wall.) Mart.","Native",0,0,1
"Arisaema decipiens","Schott",NA,1,0,0
"Arisaema flavum","(Forssk.) Schott","Native",0,0,1
"Arisaema intermedium","Blume","Native",0,1,1
"Arisaema jacquemontii","Blume","Native",0,1,1
"Arisaema tortuosum","(Wall.) Schott","Native",1,1,0
"Arisaema utile","Hook.f. ex Schott","Native",0,0,1
"Artemisia indica","Willd.","Native",0,0,1
"Artemisia japonica","Thunb.","Native",1,0,0
"Artemisia roxburghiana","Besser","Native",0,1,1
"Artemisia vestita","Wall. ex Besser","Native",0,1,0
"Artemisia vulgaris","L.","Native",1,1,1
"Artocarpus heterophyllus","Lam.","Native",1,0,0
"Artocarpus lacucha","Buch.-Ham.","Native",1,0,0
"Arundinella bengalensis","(Spreng.) Druce","Native",0,1,0
"Arundinella intricata","Hughes","Native",0,1,0
"Arundinella nepalensis","Trin.","Native",1,0,1
"Arundo donax","L.","Native",1,0,0
"Asclepias curassavica","L.","Introduced",1,1,1
"Asparagus racemosus","Willd.","Native",1,1,0
"Asphodelus tenuifolius","Cav.","Native",1,0,0
"Aspidopterys wallichii","Hook.f.","Native",1,0,0
"Asplenium adiantum-nigrum","L.","Native",0,1,0
"Asplenium anogrammoides","Christ",NA,0,1,0
"Asplenium ensiforme","Wall. ex Hook. & Grev.","Native",0,1,0
"Asplenium trichomanes","L.","Native",0,1,0
"Aster molliusculus","(Lindl. ex DC.) C.B.Clarke","Native",0,0,1
"Astilbe rivularis","Buch.-Ham. ex D.Don","Native",0,0,1
"Avena fatua","L.","Native",0,1,0
"Averrhoa carambola","L.",NA,1,0,0
"Azadirachta indica","A.Juss.","Introduced",1,0,0
"Azanza lampas","(Cav.) Alef.","Native",1,0,0
"Baccharoides anthelmintica","(L.) Moench","Native",1,0,0
"Bacopa monnieri","(L.) Wettst.","Native",1,0,0
"Baliospermum solanifolium","(Burm.) Suresh","Native",1,0,0
"Bambusa bambos","(L.) Voss","Native",1,0,0
"Barleria cristata","L.","Native",1,1,0
"Barleria prionitis","L.","Native",1,0,0
"Barleria strigosa","Willd.","Native",1,0,0
"Basella alba","L.","Native",1,0,0
"Bauhinia purpurea","L.","Native",1,0,0
"Bauhinia tomentosa","L.","Introduced",1,0,0
"Bauhinia variegata","L.","Native",1,0,0
"Bauhinia variegata","L.","Doubtful",0,1,1
"Begonia picta","Sm.","Native",1,1,1
"Berberis angulosa","Wall. ex Hook.f. & Thomson",NA,0,0,1
"Berberis aristata","DC.","Native",1,1,1
"Berberis asiatica","Roxb. ex DC.","Native",1,0,0
"Berberis chitria","Buch.-Ham. ex Lindl.","Native",0,1,0
"Berberis coriaria","Royle ex Lindl.","Native",0,0,1
"Berberis jaeschkeana","C.K.Schneid.","Native",0,0,1
"Berberis lycium","Royle","Native",1,1,1
"Bergenia ciliata","(Haw.) Sternb.","Native",0,1,1
"Bergenia stracheyi","(Hook.f. & Thomson) Engl.","Native",0,0,1
"Bergera koenigii","L.","Native",1,1,0
"Betula alnoides","Buch.-Ham. ex D.Don","Native",0,1,1
"Betula utilis","D.Don","Native",0,0,1
"Biancaea decapetala","(Roth) O.Deg.","Native",0,1,0
"Bidens bipinnata","L.","Introduced",0,1,0
"Bidens biternata","(Lour.) Merr. & Sherff","Native",1,0,0
"Bidens pilosa","L.","Introduced",1,1,0
"Bidens tripartita","L.","Native",0,0,1
"Bistorta affinis","(D.Don) Greene","Native",0,0,1
"Bistorta amplexicaulis","(D.Don) Greene","Native",0,1,1
"Bistorta emodi","(Meisn.) H.Hara","Native",0,0,1
"Bistorta vivipara","(L.) Delarbre","Native",0,0,1
"Blainvillea acmella","(L.) Philipson","Native",1,0,0
"Blepharis maderaspatensis","(L.) B.Heyne ex Roth","Native",1,0,0
"Blumea axillaris","(Lam.) DC.","Native",1,0,0
"Blumea flava","DC.","Native",1,0,0
"Blumea lacera","(Burm.f.) DC.","Native",1,0,0
"Blumea sinuata","(Lour.) Merr.","Native",1,0,0
"Boehmeria penduliflora","Wedd. ex D.G.Long","Native",1,0,0
"Boehmeria virgata","(G.Forst.) Guill.","Native",0,1,1
"Boenninghausenia albiflora","(Hook.) Rchb. ex Meisn.","Native",0,1,1
"Boerhavia diffusa","L.","Native",1,0,0
"Bolboschoenus maritimus","(L.) Palla","Native",1,0,0
"Bombax ceiba","L.","Native",1,0,0
"Bombax ceiba","L.",NA,0,1,0
"Bonnaya ciliata","(Colsm.) Spreng.","Native",1,0,0
"Boswellia serrata","Roxb.","Native",1,0,0
"Bothriochloa pertusa","(L.) A.Camus","Native",1,1,0
"Botrychium ternatum","(Thunb.) Sw.","Native",0,1,0
"Brachycorythis obcordata","(Lindl. ex Wall.) Summerh.","Native",1,1,0
"Brachypodium sylvaticum","(Huds.) P.Beauv.","Native",0,0,1
"Brassica rapa","L.","Introduced",1,0,0
"Bridelia retusa","(L.) A.Juss.","Native",1,0,0
"Bromus japonicus","Houtt.","Native",0,0,1
"Bromus ramosus","Huds.","Native",0,0,1
"Broussonetia papyrifera","(L.) L'Hér. ex Vent.","Native",1,0,0
"Buchanania cochinchinensis","(Lour.) M.R.Almeida","Native",1,0,0
"Buchnera hispida","Buch.-Ham. ex D.Don","Native",1,0,0
"Buddleja asiatica","Lour.","Native",0,1,1
"Buddleja crispa","Benth.","Native",0,1,0
"Bupleurum aitchisonii","(Boiss.) H.Wolff","Native",0,0,1
"Bupleurum candollei","Wall. ex DC.","Native",0,0,1
"Bupleurum gracillimum","Klotzsch","Native",0,1,0
"Bupleurum hamiltonii","N.P.Balakr.","Native",1,0,1
"Bupleurum lanceolatum","Wall. ex DC.","Native",0,0,1
"Bupleurum longicaule","Wall. ex DC.","Native",0,0,1
"Bupleurum maddenii","C.B.Clarke","Native",0,0,1
"Bupleurum marginatum","Wall. ex DC.","Native",1,0,1
"Butea monosperma","(Lam.) Kuntze","Native",1,1,0
"Buxus wallichiana","Baill.","Native",0,0,1
"Caesalpinia pulcherrima","(L.) Sw.","Introduced",1,0,0
"Cajanus scarabaeoides","(L.) Thouars","Native",1,0,0
"Calamagrostis emodensis","Griseb.","Native",0,0,1
"Calamagrostis pseudophragmites","(Haller f.) Koeler","Native",0,0,1
"Calanthe tricarinata","Lindl.","Native",0,0,1
"Callicarpa macrophylla","Vahl","Native",1,0,0
"Calotropis gigantea","(L.) W.T.Aiton","Native",1,0,0
"Calotropis gigantea","(L.) W.T.Aiton",NA,0,1,0
"Calotropis procera","(Aiton) W.T.Aiton","Native",1,0,0
"Calotropis procera","(Aiton) W.T.Aiton",NA,0,0,1
"Caltha alba","Cambess.","Native",0,0,1
"Caltha palustris","L.","Native",0,0,1
"Calyptocarpus vialis","Less.","Introduced",1,0,0
"Campanula argyrotricha","Wall. ex A.DC.","Native",0,0,1
"Campanula dimorphantha","Schweinf.","Native",1,1,0
"Campanula latifolia","L.","Native",0,0,1
"Campanula pallida","Wall.","Native",0,0,1
"Campylotropis macrostyla","(D.Don) Lindl. ex Miq.","Native",0,1,0
"Canavalia gladiata","(Jacq.) DC.","Native",1,0,0
"Cannabis sativa","L.","Introduced",1,1,1
"Canscora perfoliata","Lam.","Native",1,0,0
"Capillipedium assimile","(Steud.) A.Camus","Native",0,1,0
"Capillipedium parviflorum","(R.Br.) Stapf","Native",1,1,0
"Capparis decidua","(Forssk.) Edgew.","Native",1,0,0
"Capparis sepiaria","L.","Native",1,0,0
"Capparis spinosa","L.","Native",0,1,0
"Capparis zeylanica","L.","Native",1,0,0
"Capsella bursa-pastoris","(L.) Medik.","Native",1,1,0
"Caragana brevispina","Benth.","Native",0,0,1
"Cardamine hirsuta","L.","Native",1,0,0
"Cardamine impatiens","L.","Native",1,0,0
"Cardamine macrophylla","Willd.","Native",0,0,1
"Cardamine scutata","Thunb.","Introduced",1,0,0
"Cardiocrinum giganteum","(Wall.) Makino","Native",0,0,1
"Cardiospermum halicacabum","L.","Native",1,0,0
"Carduus edelbergii","Rech.f.","Native",0,1,0
"Carex capillifolia","(Decne.) S.R.Zhang","Native",0,0,1
"Carex clavispica","S.R.Zhang","Native",0,0,1
"Carex filicina","Nees","Native",0,0,1
"Carex haematostoma","Nees","Native",0,0,1
"Carex hebecarpa","C.A.Mey.","Native",0,0,1
"Carex nivalis","Boott","Native",0,0,1
"Carex norvegica","Retz.","Native",0,0,1
"Carex nubigena","D.Don","Native",0,1,0
"Carex obscura","Nees","Native",0,0,1
"Carex parvula","O.Yano","Native",0,0,1
"Carex pseudolaxa","(C.B.Clarke) O.Yano & S.R.Zhang","Native",0,0,1
"Carex remota","L.","Native",0,0,1
"Carex unciniiformis","Boeckeler","Native",0,0,1
"Carex wallichiana","Spreng.","Native",0,0,1
"Carica papaya","L.","Introduced",1,0,0
"Carissa macrocarpa","(Eckl.) A.DC.",NA,1,0,0
"Carissa spinarum","L.","Native",1,1,0
"Carpesium abrotanoides","L.","Native",0,1,0
"Carpesium cernuum","L.","Native",0,1,1
"Carpinus viminea","Lindl. ex Wall.","Native",0,1,0
"Cascabela thevetia","(L.) Lippold","Introduced",1,0,0
"Casearia graveolens","Dalzell","Native",1,0,0
"Casearia tomentosa","Roxb.","Native",1,0,0
"Cassia fistula","L.","Native",1,1,0
"Cassine albens","(Retz.) Kosterm.","Native",1,0,0
"Cassiope fastigiata","(Wall.) D.Don","Native",0,0,1
"Castanopsis tribuloides","(Sm.) A.DC.","Native",0,1,0
