"Assemblage","SC","t","Method","Order.q","qD","qD.LCL","qD.UCL"
"Morni",0.364973947839363,1,"Rarefaction",0,163.300780911597,157.175123381057,169.426438442136
"Morni",0.564756924485544,2,"Rarefaction",0,266.999382626585,259.859416054403,274.139349198768
"Morni",0.69611317210507,3,"Rarefaction",0,338.075948501984,329.596346209141,346.555550794827
"Morni",0.786141308576947,4,"Rarefaction",0,387.699633984451,378.460187735112,396.939080233789
"Morni",0.850024149223108,5,"Rarefaction",0,422.623698601689,412.850142523409,432.397254679969
"Morni",0.89690365324074,6,"Rarefaction",0,447.114521913905,436.762351512365,457.466692315445
"Morni",0.932195917509076,7,"Rarefaction",0,463.949461208069,452.445466239634,475.453456176505
"Morni",0.959107998028439,8,"Rarefaction",0,475.022447312186,461.281235199627,488.763659424745
"Morni",0.979791953489348,9,"Rarefaction",0,481.700051410826,465.383328031786,498.016774789866
"Morni",0.990013582180342,10,"Observed",0,485,467.197838299283,502.802161700717
"Morni",0.995064948265494,11,"Extrapolation",0,486.63078202995,468.056691269819,505.204872790081
"Morni",0.997561214034695,12,"Extrapolation",0,487.436675978195,468.473177672195,506.400174284195
"Morni",0.998794809597844,13,"Extrapolation",0,487.834929726329,468.677194666454,506.992664786205
"Morni",0.999404423378635,14,"Extrapolation",0,488.031737319001,468.777590853375,507.285883784628
"Morni",0.999705680105582,15,"Extrapolation",0,488.12899498127,468.827102503161,507.430887459379
"Morni",0.999854554062159,16,"Extrapolation",0,488.177057420029,468.851545352367,507.502569487691
"Morni",0.999928124054012,17,"Extrapolation",0,488.200808741678,468.863618439848,507.537999043508
"Morni",0.999964480605727,18,"Extrapolation",0,488.212546083658,468.869583214451,507.555508952865
"Morni",0.999982447154577,19,"Extrapolation",0,488.218346400743,468.872530508961,507.564162292524
"Morni",0.999991325798518,20,"Extrapolation",0,488.2212127804,468.873986905337,507.568438655464
"Chail",0.632135510502707,1,"Rarefaction",0,175.500910099309,171.426914720552,179.574905478067
"Chail",0.789028158198388,2,"Rarefaction",0,240.061160663397,234.302102428926,245.820218897868
"Chail",0.864856807829537,3,"Rarefaction",0,277.086509341348,270.715125670968,283.457893011728
"Chail",0.908024420257429,4,"Rarefaction",0,300.803891454491,294.121047294708,307.486735614274
"Chail",0.935286254068958,5,"Rarefaction",0,316.94592127929,310.03692538123,323.854917177349
"Chail",0.953660682144507,6,"Rarefaction",0,328.303121518077,321.141689348757,335.464553687397
"Chail",0.966601627675305,7,"Rarefaction",0,336.435424494372,328.936703593263,343.93414539548
"Chail",0.975999430563504,8,"Rarefaction",0,342.297043080747,334.350127086487,350.243959075008
"Chail",0.982957743760859,9,"Rarefaction",0,346.509067182308,337.901183806124,355.116950558492
"Chail",0.988129233725569,10,"Rarefaction",0,349.500043288034,340.257884070136,358.742202505931
"Chail",0.991927830863308,11,"Rarefaction",0,351.583336405762,341.773474445974,361.393198365551
"Chail",0.994510921177588,12,"Observed",0,353,342.734620157875,363.265379842125
"Chail",0.99626742640076,13,"Extrapolation",0,353.963333333333,343.360315775731,364.566350890935
"Chail",0.997461849952517,14,"Extrapolation",0,354.6184,343.774142259451,365.462657740549
"Chail",0.998274057967711,15,"Extrapolation",0,355.063845333333,344.050527686039,366.077162980628
"Chail",0.998826359418044,16,"Extrapolation",0,355.36674816,344.236260586207,366.497235733793
"Chail",0.99920192440427,17,"Extrapolation",0,355.572722082133,344.361570963703,366.783873200563
"Chail",0.999457308594903,18,"Extrapolation",0,355.712784349184,344.44633545664,366.979233241728
"Chail",0.999630969844534,19,"Extrapolation",0,355.808026690778,344.503771999069,367.112281382488
"Chail",0.999749059494283,20,"Extrapolation",0,355.872791483063,344.542735823574,367.202847142552
"Churdhar",0.756417177635999,1,"Rarefaction",0,304.115308942382,300.561824433939,307.668793450824
"Churdhar",0.883409667610599,2,"Rarefaction",0,378.189303347337,373.807330106975,382.571276587698
"Churdhar",0.932438485846221,3,"Rarefaction",0,413.646162240663,408.942827417711,418.349497063615
"Churdhar",0.956346601581792,4,"Rarefaction",0,434.19225469444,429.347332477785,439.037176911094
"Churdhar",0.969751720659667,5,"Rarefaction",0,447.46785692191,442.562225245712,452.373488598109
"Churdhar",0.977972115030407,6,"Rarefaction",0,456.666541928067,451.743057633147,461.590026222988
"Churdhar",0.983334261715788,7,"Rarefaction",0,463.365530438128,458.455951028033,468.275109848222
"Churdhar",0.986997913503668,8,"Rarefaction",0,468.433717295696,463.541944088684,473.325490502708
"Churdhar",0.989597458226467,9,"Rarefaction",0,472.387782601113,467.474055336253,477.301509865974
"Churdhar",0.991503262150876,10,"Rarefaction",0,475.551301113033,470.557366406589,480.545235819477
"Churdhar",0.992941686882535,11,"Rarefaction",0,478.135247116511,472.999650109687,483.270844123334
"Churdhar",0.994055281048061,12,"Rarefaction",0,480.281774496454,474.930207266041,485.633341726868
"Churdhar",0.994935708764305,13,"Rarefaction",0,482.089605288564,476.442406791538,487.736803785589
"Churdhar",0.995643318018825,14,"Rarefaction",0,483.629760537571,477.558663514078,489.700857561064
"Churdhar",0.99621875704431,15,"Rarefaction",0,484.954659300949,478.416763369185,491.492555232713
"Churdhar",0.996690230604464,16,"Rarefaction",0,486.104561523998,479.150895180183,493.058227867812
"Churdhar",0.997077094237623,17,"Rarefaction",0,487.111117697343,479.801774414821,494.420460979864
"Churdhar",0.997418730337985,18,"Observed",0,488,480.361821409139,495.638178590861
"Churdhar",0.997720437181597,19,"Extrapolation",0,488.784992784993,480.841710961086,496.728274608899
"Churdhar",0.997986879588943,20,"Extrapolation",0,489.478233166545,481.252784839336,497.703681493753
