"Assemblage","t","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"Morni",1,"Rarefaction",0,163.3,156.460510836452,170.139489163548,0.364972443355786,0.347514207030658,0.382430679680914
"Morni",2,"Rarefaction",0,267,257.703402749547,276.296597250453,0.564758113900796,0.546039571932895,0.583476655868696
"Morni",3,"Rarefaction",0,338.075,328.031340108875,348.118659891125,0.696111451316595,0.678801567925907,0.713421334707283
"Morni",4,"Rarefaction",0,387.7,377.62867793974,397.77132206026,0.786141972608598,0.770619759922049,0.801664185295147
"Morni",5,"Rarefaction",0,422.623015873016,412.792821789406,432.453209956625,0.850022842368219,0.836025521919496,0.864020162816941
"Morni",6,"Rarefaction",0,447.114285714286,437.559777176261,456.66879425231,0.896903158078908,0.884048587433784,0.909757728724033
"Morni",7,"Rarefaction",0,463.95,454.561836606241,473.338163393759,0.932197047016398,0.920181003102731,0.944213090930065
"Morni",8,"Rarefaction",0,475.022222222222,465.601984199499,484.442460244946,0.959107300809689,0.947695077239108,0.97051952438027
"Morni",9,"Rarefaction",0,481.7,472.012181697609,491.387818302391,0.979791794243723,0.968716180803521,0.990867407683926
"Morni",10,"Observed",0,485,474.816033202114,495.183966797886,0.990013582180342,0.979484447054765,1
"Morni",11,"Extrapolation",0,486.63078202995,475.770312341718,497.491251718182,0.995064948265494,0.985286865019648,1
"Morni",12,"Extrapolation",0,487.436675978195,475.79055732736,499.08279462903,0.997561214034695,0.988662709758645,1
"Morni",13,"Extrapolation",0,487.834929726329,475.36204295052,500.307816502138,0.998794809597844,0.990829042734305,1
"Morni",14,"Extrapolation",0,488.031737319001,474.742848801603,501.3206258364,0.999404423378635,0.992367309726665,1
"Morni",15,"Extrapolation",0,488.12899498127,474.068886814791,502.18910314775,0.999705680105582,0.993554852088551,1
"Morni",16,"Extrapolation",0,488.177057420029,473.409817082326,502.944297757732,0.999854554062159,0.994524746076345,1
"Morni",17,"Extrapolation",0,488.200808741678,472.799244112905,503.602373370452,0.999928124054012,0.995342453611581,1
"Morni",18,"Extrapolation",0,488.212546083658,472.251169132189,504.173923035127,0.999964480605727,0.996042221270202,1
"Morni",19,"Extrapolation",0,488.218346400743,471.769032773727,504.667660027759,0.999982447154577,0.996644101845347,1
"Morni",20,"Extrapolation",0,488.2212127804,471.350732037988,505.091693522813,0.999991325798518,0.997161733404343,1
"Chail",1,"Rarefaction",0,175.5,171.119618521494,179.880381478506,0.632133298799965,0.619998545877695,0.644268051722236
