"taxon_name","taxon_authors","LL","UL"
"Abelmoschus crinitus","Wall.",825,975
"Abies pindrow","(Royle ex D.Don) Royle",950,3050
"Abies spectabilis","(D.Don) Mirb.",1000,3400
"Abrus precatorius","L.",600,900
"Abutilon indicum","(L.) Sweet",900,1100
"Acanthophyllum cerastioides","(D.Don) Madhani & Zarre",1600,3100
"Acanthospermum hispidum","DC.",550,950
"Acer acuminatum","Wall. ex D.Don",1000,2500
"Acer caesium","Wall. ex Brandis",609.5,2590.5
"Acer cappadocicum","Gled.",750,2250
"Acer pentapomicum","J.L.Stewart",300,2250
"Achillea millefolium","L.",950,2650
"Achyranthes aspera","L.",1400,1500
"Achyranthes bidentata","Blume",1150,1350
"Aconitum heterophyllum","Wall. ex Royle",950,3250
"Aconitum laeve","Royle",1000,3000
"Acorus calamus","L.",1450,1550
"Actaea spicata","L.",650,3050
"Adenocaulon himalaicum","Edgew.",1000,3000
"Adenostemma lavenia","(L.) Kuntze",800,1200
"Adina cordifolia","(Roxb.) Brandis",575,725
"Aegle marmelos","(L.) Corrêa",700,800
"Aeschynomene indica","L.",900,1100
"Aesculus indica","(Wall. ex Cambess.) Hook.",750,2250
"Agave vivipara","L.",300,1250
"Ageratina adenophora","(Spreng.) R.M.King & H.Rob.",900,1500
"Ageratum conyzoides","L.",950,1050
"Ageratum houstonianum","Mill.",650,750
"Agrimonia pilosa","Ledeb.",1400,2400
"Agrostis gigantea","Roth",550,3450
"Agrostis munroana","Aitch. & Hemsl.",1550,3350
"Agrostis stolonifera","L.",1000,2500
"Ailanthus altissima","(Mill.) Swingle",1050,2750
"Ainsliaea aptera","DC.",1400,2600
"Ainsliaea latifolia","(D.Don) Sch.Bip.",1580,2380
"Ajuga integrifolia","Buch.-Ham. ex D.Don",2350,2750
"Ajuga macrosperma","Wall. ex Benth.",1450,1850
"Ajuga parviflora","Benth.",1550,2400
"Alangium chinense","(Lour.) Harms",1380,1620
"Albizia chinensis","(Osbeck) Merr.",967,1167
"Albizia lebbeck","(L.) Benth.",743.5,956.5
"Albizia odoratissima","(L.f.) Benth.",700,800
"Aletris pauciflora","(Klotzsch) Hand.-Mazz.",1700,3200
"Alisma plantago-aquatica","L.",400,1400
"Allium cepa","L.",700,1100
"Allium humile","Kunth",1105,2905
"Allium victorialis","L.",600,3300
"Allium wallichii","Kunth",1175,3475
"Alnus nepalensis","D.Don",1600,1700
"Aloe vera","(L.) Burm.f.",500,900
"Alstonia scholaris","(L.) R.Br.",700,800
"Alternanthera sessilis","(L.) R.Br. ex DC.",900,1100
"Alysicarpus bupleurifolius","(L.) DC.",409.5,809.5
"Alysicarpus monilifer","(L.) DC.",300,600
"Alysicarpus vaginalis","(L.) DC.",650,850
"Amaranthus caudatus","L.",650,1650
"Amaranthus viridis","L.",675,825
"Ampelocissus latifolia","(Roxb.) Planch.",650,950
"Anaphalis busua","(Buch.-Ham.) DC.",1990,2090
