elevation,mde,species,site
400,87,368,Morni
500,152,368,Morni
600,195,368,Morni
700,217,368,Morni
800,218,368,Morni
900,211,368,Morni
1000,205,368,Morni
1100,177,368,Morni
1200,124,368,Morni
1300,69,368,Morni
400,77,418,Morni
500,169,418,Morni
600,198,418,Morni
700,216,418,Morni
800,238,418,Morni
900,239,418,Morni
1000,226,418,Morni
1100,197,418,Morni
1200,141,418,Morni
1300,94,418,Morni
400,83,468,Morni
500,171,468,Morni
600,222,468,Morni
700,262,468,Morni
800,292,468,Morni
900,277,468,Morni
1000,256,468,Morni
1100,212,468,Morni
1200,162,468,Morni
1300,87,468,Morni
400,96,518,Morni
500,177,518,Morni
600,243,518,Morni
700,274,518,Morni
800,303,518,Morni
900,305,518,Morni
1000,280,518,Morni
1100,243,518,Morni
1200,184,518,Morni
1300,106,518,Morni
400,120,568,Morni
500,209,568,Morni
600,282,568,Morni
700,326,568,Morni
800,332,568,Morni
900,331,568,Morni
1000,307,568,Morni
1100,267,568,Morni
1200,205,568,Morni
1300,102,568,Morni
400,111,618,Morni
500,212,618,Morni
600,284,618,Morni
700,324,618,Morni
800,372,618,Morni
900,375,618,Morni
1000,351,618,Morni
1100,295,618,Morni
1200,216,618,Morni
1300,128,618,Morni
400,137,668,Morni
500,236,668,Morni
600,321,668,Morni
700,371,668,Morni
800,396,668,Morni
900,394,668,Morni
1000,372,668,Morni
1100,304,668,Morni
1200,225,668,Morni
1300,127,668,Morni
400,154,718,Morni
500,262,718,Morni
600,350,718,Morni
700,412,718,Morni
800,410,718,Morni
900,429,718,Morni
1000,381,718,Morni
1100,329,718,Morni
1200,255,718,Morni
1300,151,718,Morni
400,161,768,Morni
500,288,768,Morni
600,371,768,Morni
700,436,768,Morni
800,453,768,Morni
900,450,768,Morni
1000,418,768,Morni
1100,362,768,Morni
1200,271,768,Morni
1300,129,768,Morni
1000,29,177,Chail
1100,50,177,Chail
1200,76,177,Chail
1300,91,177,Chail
1400,102,177,Chail
1500,108,177,Chail
1600,106,177,Chail
1700,98,177,Chail
1800,87,177,Chail
1900,71,177,Chail
2000,45,177,Chail
2100,24,177,Chail
1000,32,227,Chail
1100,66,227,Chail
1200,98,227,Chail
1300,116,227,Chail
1400,122,227,Chail
1500,133,227,Chail
1600,145,227,Chail
1700,142,227,Chail
1800,119,227,Chail
1900,97,227,Chail
2000,79,227,Chail
2100,37,227,Chail
1000,43,277,Chail
1100,78,277,Chail
1200,102,277,Chail
1300,128,277,Chail
1400,149,277,Chail
1500,166,277,Chail
1600,166,277,Chail
1700,157,277,Chail
1800,146,277,Chail
1900,112,277,Chail
2000,79,277,Chail
2100,43,277,Chail
1000,50,327,Chail
1100,87,327,Chail
1200,129,327,Chail
1300,165,327,Chail
1400,176,327,Chail
1500,190,327,Chail
1600,193,327,Chail
1700,186,327,Chail
1800,164,327,Chail
1900,143,327,Chail
2000,106,327,Chail
2100,51,327,Chail
1000,56,377,Chail
1100,102,377,Chail
1200,147,377,Chail
1300,176,377,Chail
1400,194,377,Chail
1500,204,377,Chail
1600,214,377,Chail
1700,206,377,Chail
1800,189,377,Chail
1900,153,377,Chail
2000,115,377,Chail
2100,59,377,Chail
1000,74,427,Chail
1100,126,427,Chail
1200,173,427,Chail
1300,213,427,Chail
1400,233,427,Chail
1500,250,427,Chail
1600,249,427,Chail
1700,248,427,Chail
1800,228,427,Chail
1900,190,427,Chail
2000,151,427,Chail
2100,89,427,Chail
1000,86,477,Chail
1100,160,477,Chail
1200,196,477,Chail
1300,231,477,Chail
1400,253,477,Chail
1500,270,477,Chail
1600,276,477,Chail
1700,264,477,Chail
1800,228,477,Chail
1900,194,477,Chail
2000,128,477,Chail
2100,60,477,Chail
1000,78,527,Chail
1100,152,527,Chail
1200,219,527,Chail
1300,267,527,Chail
1400,302,527,Chail
1500,317,527,Chail
1600,309,527,Chail
1700,298,527,Chail
