elevation,richness,species,site
400,43,368,Morni
500,62,368,Morni
600,82,368,Morni
700,119,368,Morni
800,133,368,Morni
900,140,368,Morni
1000,120,368,Morni
1100,121,368,Morni
1200,116,368,Morni
1300,114,368,Morni
400,43,418,Morni
500,60,418,Morni
600,84,418,Morni
700,125,418,Morni
800,142,418,Morni
900,160,418,Morni
1000,145,418,Morni
1100,145,418,Morni
1200,142,418,Morni
1300,131,418,Morni
400,47,468,Morni
500,66,468,Morni
600,94,468,Morni
700,148,468,Morni
800,164,468,Morni
900,181,468,Morni
1000,161,468,Morni
1100,158,468,Morni
1200,159,468,Morni
1300,147,468,Morni
400,53,518,Morni
500,76,518,Morni
600,105,518,Morni
700,165,518,Morni
800,186,518,Morni
900,205,518,Morni
1000,177,518,Morni
1100,176,518,Morni
1200,174,518,Morni
1300,163,518,Morni
400,60,568,Morni
500,84,568,Morni
600,117,568,Morni
700,181,568,Morni
800,206,568,Morni
900,226,568,Morni
1000,198,568,Morni
1100,192,568,Morni
1200,191,568,Morni
1300,178,568,Morni
400,68,618,Morni
500,100,618,Morni
600,142,618,Morni
700,209,618,Morni
800,241,618,Morni
900,260,618,Morni
1000,229,618,Morni
1100,213,618,Morni
1200,206,618,Morni
1300,189,618,Morni
400,72,668,Morni
500,108,668,Morni
600,156,668,Morni
700,228,668,Morni
800,261,668,Morni
900,284,668,Morni
1000,261,668,Morni
1100,252,668,Morni
1200,237,668,Morni
1300,209,668,Morni
400,80,718,Morni
500,128,718,Morni
600,190,718,Morni
700,268,718,Morni
800,299,718,Morni
900,316,718,Morni
1000,281,718,Morni
1100,267,718,Morni
1200,243,718,Morni
1300,205,718,Morni
400,106,768,Morni
500,174,768,Morni
600,227,768,Morni
700,296,768,Morni
800,324,768,Morni
900,348,768,Morni
1000,312,768,Morni
1100,287,768,Morni
1200,258,768,Morni
1300,216,768,Morni
1000,52,177,Chail
1100,66,177,Chail
1200,81,177,Chail
1300,96,177,Chail
1400,102,177,Chail
1500,98,177,Chail
1600,101,177,Chail
1700,100,177,Chail
1800,96,177,Chail
1900,89,177,Chail
2000,83,177,Chail
2100,78,177,Chail
1000,78,227,Chail
1100,95,227,Chail
1200,87,227,Chail
1300,113,227,Chail
1400,131,227,Chail
1500,130,227,Chail
1600,128,227,Chail
1700,118,227,Chail
1800,107,227,Chail
1900,96,227,Chail
2000,92,227,Chail
2100,85,227,Chail
1000,96,277,Chail
1100,116,277,Chail
1200,112,277,Chail
1300,142,277,Chail
1400,164,277,Chail
1500,167,277,Chail
1600,166,277,Chail
1700,155,277,Chail
1800,140,277,Chail
1900,132,277,Chail
2000,129,277,Chail
2100,116,277,Chail
1000,106,327,Chail
1100,135,327,Chail
1200,142,327,Chail
1300,169,327,Chail
1400,194,327,Chail
1500,189,327,Chail
1600,187,327,Chail
1700,181,327,Chail
1800,167,327,Chail
1900,153,327,Chail
2000,146,327,Chail
2100,132,327,Chail
1000,124,377,Chail
1100,156,377,Chail
1200,157,377,Chail
1300,194,377,Chail
1400,220,377,Chail
1500,215,377,Chail
1600,213,377,Chail
1700,206,377,Chail
1800,190,377,Chail
1900,173,377,Chail
